file,folder,mean_luminance
C:\Users\micha\Desktop\AGNG\Images\Happy\AF10_HE.jpg,B,0.10411886870861053
C:\Users\micha\Desktop\AGNG\Images\Happy\AF11HAS.jpg,B,0.10101964324712753
C:\Users\micha\Desktop\AGNG\Images\Happy\AF19HAS.jpg,B,0.10455811768770218
C:\Users\micha\Desktop\AGNG\Images\Happy\AF21HAS.jpg,B,0.10224921256303787
C:\Users\micha\Desktop\AGNG\Images\Happy\AF22HAS.jpg,B,0.10465317964553833
C:\Users\micha\Desktop\AGNG\Images\Happy\AF23HAS.jpg,B,0.10159754753112793
C:\Users\micha\Desktop\AGNG\Images\Happy\AF25HAS.jpg,B,0.09907243400812149
C:\Users\micha\Desktop\AGNG\Images\Happy\AF26HAS.jpg,B,0.1030704453587532
C:\Users\micha\Desktop\AGNG\Images\Happy\AF27HAS.jpg,B,0.09918530285358429
C:\Users\micha\Desktop\AGNG\Images\Happy\AF28HAS.jpg,B,0.09098950028419495
C:\Users\micha\Desktop\AGNG\Images\Happy\AF30HAS.jpg,B,0.10608552396297455
C:\Users\micha\Desktop\AGNG\Images\Happy\AF32HAS.jpg,B,0.09702534228563309
C:\Users\micha\Desktop\AGNG\Images\Happy\AM01HAS.jpg,B,0.10823135823011398
C:\Users\micha\Desktop\AGNG\Images\Happy\AM02_HE.jpg,B,0.05926503986120224
C:\Users\micha\Desktop\AGNG\Images\Happy\AM03_HO.jpg,B,0.09619328379631042
C:\Users\micha\Desktop\AGNG\Images\Happy\AM03HAS.jpg,B,0.10929059237241745
C:\Users\micha\Desktop\AGNG\Images\Happy\AM04_HE.jpg,B,0.11437710374593735
C:\Users\micha\Desktop\AGNG\Images\Happy\AM04HAS.jpg,B,0.1031588464975357
C:\Users\micha\Desktop\AGNG\Images\Happy\AM05HAS.jpg,B,0.09697180986404419
C:\Users\micha\Desktop\AGNG\Images\Happy\AM06_HC.jpg,B,0.07858424633741379
C:\Users\micha\Desktop\AGNG\Images\Happy\AM09_HE.jpg,B,0.10878831148147583
C:\Users\micha\Desktop\AGNG\Images\Happy\AM09HAS.jpg,B,0.10222169756889343
C:\Users\micha\Desktop\AGNG\Images\Happy\AM10_HO.jpg,B,0.08725272864103317
C:\Users\micha\Desktop\AGNG\Images\Happy\AM10HAS.jpg,B,0.09978843480348587
C:\Users\micha\Desktop\AGNG\Images\Happy\AM13HAS.jpg,B,0.10403841733932495
C:\Users\micha\Desktop\AGNG\Images\Happy\AM16HAS.jpg,B,0.10639075189828873
C:\Users\micha\Desktop\AGNG\Images\Happy\AM17HAS.jpg,B,0.10399125516414642
C:\Users\micha\Desktop\AGNG\Images\Happy\AM19HAS.jpg,B,0.1031857430934906
C:\Users\micha\Desktop\AGNG\Images\Happy\AM22HAS.jpg,B,0.10370590537786484
C:\Users\micha\Desktop\AGNG\Images\Happy\AM23HAS.jpg,B,0.09323600679636002
C:\Users\micha\Desktop\AGNG\Images\Happy\AM24HAS.jpg,B,0.08443071693181992
C:\Users\micha\Desktop\AGNG\Images\Happy\AM30HAS.jpg,B,0.10451136529445648
C:\Users\micha\Desktop\AGNG\Images\Happy\AM32HAS.jpg,B,0.08560674637556076
C:\Users\micha\Desktop\AGNG\Images\Happy\BF05_HO.jpg,B,0.05717664211988449
C:\Users\micha\Desktop\AGNG\Images\Happy\BF07_HO.jpg,B,0.07613987475633621
