FaceE,Express,ColourT,ColourF,CorrectAnsP,Pract_ISI
Images/Happy/AM32HAS.jpg,Happy,Yellow,Images/Yellow.jpg,None,3.8596
Images/Happy/BF05_HO.jpg,Happy,Yellow,Images/Yellow.jpg,None,4.3811
Images/Fearful/AM16AFS.jpg,Fear,Blue,Images/Blue.jpg,space,4.3959
Images/Fearful/AM17AFS.jpg,Fear,Blue,Images/Blue.jpg,space,4.2341
Images/Fearful/AM19AFS.jpg,Fear,Blue,Images/Blue.jpg,space,4.5367
Images/Fearful/AM22AFS.jpg,Fear,Blue,Images/Blue.jpg,space,4.1648
Images/Fearful/AM23AFS.jpg,Fear,Blue,Images/Blue.jpg,space,4.394
