FaceE,Express,ColourT,ColourF,CorrectAnsP,Pract_ISI
Images/Scram2/HM06_NC.jpg,Scramble,Yellow,Images/Yellow.jpg,None,4.244
Images/Scram2/AM03NES.jpg,Scramble,Yellow,Images/Yellow.jpg,None,4.2055
Images/Scram1/HF04_NC.jpg,Scramble,Blue,Images/Blue.jpg,space,4.3075
Images/Scram1/AF07NES.jpg,Scramble,Blue,Images/Blue.jpg,space,4.1558
Images/Scram1/AF30NES.JPG,Scramble,Blue,Images/Blue.jpg,space,4.2165
Images/Scram1/BM01_NC.jpg,Scramble,Blue,Images/Blue.jpg,space,4.4606
Images/Scram1/AF10_NC.jpg,Scramble,Blue,Images/Blue.jpg,space,4.1386
